YEAR,NUMBER,QUESTION,ANSWER,pset,LABEL,dup_same_year,paired
RII2000,x01a,問卷類別,x01a,x01,問卷資訊,,GPT
RII2000,x01b,主樣本年齡層,x01b,x01,問卷資訊,,GPT
RII2000,x01c,訪問時段,x01c,x01,問卷資訊,,GPT
RII2000,x02z01,月(訪問開始時間),x02z01f,x02,問卷資訊,,Y
RII2000,x02z02,日(訪問開始時間),x02z02f,x02,問卷資訊,,Y
RII2000,x02z03,時(訪問開始時間),x02z03f,x02,問卷資訊,,Y
RII2000,x02z04,分(訪問開始時間),x02z04f,x02,問卷資訊,,Y
RII2000,x06,現住地區域碼,x06f,x06,問卷資訊,,Y
RII2000,x08,受訪者與戶長的關係,x08f,x08,受訪者基本資料,,Y
RII2000,a01,性別,a01f,a01,受訪者基本資料,,Y
RII2000,a03,請問您最高的教育程度是什麼?,a03f,a03,教育,,Y
RII2000,a04,請問您認為自己目前的健康狀況如何?,a04f,a04,健康狀況,,Y
RII2000,a05z01,請問您目前結婚了嗎?(若有兩次以上之婚姻經驗，以最近一次為準),a05z01f,a05,婚姻狀況,,NOT FOUND
RII2000,a05z02,是在哪一年開始?民國__年,a05z02f,a05,婚姻狀況,,NOT FOUND
RII2000,a06,請問您的(先生/太太)是在哪一年出生的? 民國__年,a06f,a06,配偶：基本資料,,GPT
RII2000,a07,請問(他/她)是那裡人?,a07f,a07,配偶：基本資料,,NOT FOUND
RII2000,a08,請問您(先生/太太)的最高教育程度是什麼?,a08f,a08,配偶：教育,,Y
RII2000,a09,請問您(先生/太太)目前的健康狀況如何？,a09f,a09,配偶：健康狀況,,Y
RII2000,b01,請問您什麼時候開始上小學?民國   年,b01f,b01,教育：國小,,GPT
RII2000,b02a,請問您上小學以前，在家裡主要都是說哪一種語言?,b02a,b02,教育：國小,,Y
RII2000,b02b,那個時候，您的國語能力如何？如果0分代表完全不懂，10分代表很流利，您?{為上小學以前您的國語大約是幾分?__分,b02b,b02,教育：國小,,GPT
RII2000,b03,請問您唸完小學以後，接著做什麼呢?,b03f,b03,教育：國小,,Y
RII2000,b04a,請問您什麼時候開始上初中/初職/國中?民國__年,b04a,b04,教育：國中,Y,GPT
RII2000,b04b,請問在這個階段，您主要是唸什麼樣的學校?,b04b,b04,教育：國中,Y,GPT
RII2000,b04c,請問您就讀的這間學校是公立還是私立?,b04c,b04,教育：國中,,GPT
RII2000,b04d,請問在這個階段，您有沒有拿到正式的文憑?,b04d,b04,教育：國中,Y,GPT
RII2000,b04e,請問您是什麼時候畢業或肄業?民國_ 年,b04e,b04,教育：國中,Y,GPT
RII2000,b04f,請問您在這個教育階段後，緊接下來做什麼呢?,b04f,b04,教育：國中,Y,GPT
RII2000,b05a,請問您什麼時候開始上高中/高職/五專?民國__年,b05a,b05,教育：高中,Y,GPT
RII2000,b05b,請問在這個階段，您主要是唸什麼樣的學校?,b05b,b05,教育：高中,Y,GPT
RII2000,b05c,請問您就讀的學校是公立還是私立?,b05c,b05,教育：高中,Y,GPT
RII2000,b05d,請問在這個階段，您有沒有拿到正式的文憑?,b05d,b05,教育：高中,Y,GPT
RII2000,b05e,請問您是什麼時候畢業或肄業的?民國  _年,b05e,b05,教育：高中,Y,GPT
RII2000,b05f,請問您在這個教育階段後，緊接下來做什麼呢?,b05f,b05,教育：高中,Y,GPT
RII2000,b06a,請問您什麼時候開始上二專/三專/技術學院/大學?民國  _年,b06a,b06,教育：大專,,GPT
RII2000,b06b,請問在這個階段，您主要是唸什麼樣的學校?,b06b,b06,教育：大專,Y,GPT
RII2000,b06c,請問您就讀的學校是公立還是私立?,b06c,b06,教育：大專,Y,GPT
RII2000,b06d,請問在這個階段，您有沒有拿到正式的文憑?,b06d,b06,教育：大專,Y,GPT
RII2000,b06e,請問您是什麼時候畢業或肄業的?民國  _年,b06e,b06,教育：大專,Y,GPT
RII2000,b07a,請問您什麼時候開始上研究所(碩士/博士)?民國  _年,b07a,b07,教育：研究所,,GPT
RII2000,b07b,請問在研究所階段，您有沒有拿到正式的文憑?,b07b,b07,教育：研究所,,GPT
RII2000,b07c,請問您是什麼時候畢業或肄業的?民國 _ 年,b07c,b07,教育：研究所,Y,GPT
RII2000,b08a,請問您有沒有在軍中服役過?,b08a,b08,兵役,,GPT
RII2000,b08b01,請問您什麼時候在軍中服役?民國 _ 年入伍,b08b01f,b08,兵役,,GPT
RII2000,b08b02,民國  _年退伍,b08b02f,b08,兵役,,GPT
RII2000,b09,請問您什麼時候開始第一次正式就業?民國_  年,b09f,b09,工作,,Y
