question,RII2000,RII2001,RIII&RIV2002,RR2006,RR2007,RR2008,RR2009,RR2012,RR2014,RR2018,conflict
性別,a01/性別,A01/性別,,,,,,,,,
請問您最高的教育程度是什麼?,a03/請問您最高的教育程度是什麼?,A03/請問您最高的教育程度是什麼?,,,,,a03c/請問您最高的教育程度是什麼?,a03c/請問您最高的教育程度是什麼,a03c/請問您最高的教育程度是什麼?,a03a/請問您最高的教育程度是什麼?,V
請問您認為自己目前的健康狀況如何?,a04/請問您認為自己目前的健康狀況如何?,A04/請問您認為自己目前的健康狀況如何?,A02/請問您認為自己目前的健康狀況如何?,A04A/請問您認為自己目前的健康狀況如何?,a04a/請問您認為自己目前的健康狀況如何?,a04a/請問您認為自己目前的健康狀況如何?,a04a/請問您認為自己目前的健康狀況如何?,a04a/請問您認為自己目前的健康狀況如何,a04a/請問您認為自己目前的健康狀況如何?,a04a/請問您認為自己目前的健康狀況如何?,
請問您目前結婚了嗎?(若有兩次以上之婚姻經驗，以最近一次為準),a05z01/請問您目前結婚了嗎?(若有兩次以上之婚姻經驗，以最近一次為準),,,A22/請問你目前結婚了嗎?,a16/請問您目前結婚了嗎?,a16z01/請問您目前結婚了嗎?,a16z01/請問您目前結婚了嗎?,,,a17a/請問您目前結婚了嗎?,
請問您的(先生/太太)是在哪一年出生的?民國__年,a06/請問您的(先生/太太)是在哪一年出生的? 民國__年,C22/請問您的(先生/太太)是在哪一年出生的?民國__年,A15/請問您的(先生/太太)是在哪一年出生的?民國__年,,,,,,a26z01/請問您的(先生/太太)是在哪一年出生的?民國__年,,
請問您的(先生/太太)是在哪一年出生的? 民國__年,a06/請問您的(先生/太太)是在哪一年出生的? 民國__年,C22/請問您的(先生/太太)是在哪一年出生的?民國__年,A15/請問您的(先生/太太)是在哪一年出生的?民國__年,,,,,,,,V
請問您的(先生/太太/同居伴侶)是在哪一年出生的?民國__年,a06/請問您的(先生/太太)是在哪一年出生的? 民國__年,,,,,,,,,a28a01/請問您的(先生/太太/同居伴侶)是在哪一年出生的?民國__年,
請問您(先生/太太)的最高教育程度是什麼?,a08/請問您(先生/太太)的最高教育程度是什麼?,C24A/請問您(先生/太太)最高教育程度是什麼?,A17A/請問您(先生/太太)的最高教育程度是什麼?,,,,,,,,
請問您(先生/太太)目前的健康狀況如何？,a09/請問您(先生/太太)目前的健康狀況如何？,,A18/請問您(先生/太太)目前的健康狀況如何?,,,,,,,,
請問您什時候開始上小學?民國__年,b01/請問您什麼時候開始上小學?民國   年,B01/請問您什時候開始上小學?民國__年,,,,,,,,,
請問您上小學以前，在家裡主要都是說哪一種語言?,b02a/請問您上小學以前，在家裡主要都是說哪一種語言?,B02A/請問您上小學以前，在家裡主要都是說哪一種語言?,,,,,,,,,
那個時候，您的國語能力如何？如果0分代表完全不懂，10分代表很流利，您?{為上小學以前您的國語大約是幾分?__分,b02b/那個時候，您的國語能力如何？如果0分代表完全不懂，10分代表很流利，您?{為上小學以前您的國語大約是幾分?__分,B02B/您認為上小學以前您的國語大約是幾分?__分(0分代表完全不懂，10分代表很流利),,,,,,,,,
請問您唸完小學以後，接著做什麼呢?,b03/請問您唸完小學以後，接著做什麼呢?,B03/請問您唸完小學以後，接著做什麼呢?,,,,,,,,,
請問您什麼時候開始上初中/初職/國中?民國__年,b04a/請問您什麼時候開始上初中/初職/國中?民國__年,B05A/請問您什麼時候開始上高中/高職/五專?民國__年,,,,,,,,,V
請問您就讀的這間學校是公立還是私立?,b04c/請問您就讀的這間學校是公立還是私立?,B04C/請問您就讀的這間學校是公立還是私立?,,,,,,,,,
