YEAR,NUMBER,QUESTION,ANSWER,pset,LABEL,dup_same_year,paired
RII2000,b04a,請問您什麼時候開始上初中/初職/國中?民國__年,b04a,b04,教育：國中,Y,Y
RII2000,b04b,請問在這個階段，您主要是唸什麼樣的學校?,b04b,b04,教育：國中,Y,Y
RII2000,b04d,請問在這個階段，您有沒有拿到正式的文憑?,b04d,b04,教育：國中,Y,Y
RII2000,b04e,請問您是什麼時候畢業或肄業?民國_ 年,b04e,b04,教育：國中,Y,Y
RII2000,b04f,請問您在這個教育階段後，緊接下來做什麼呢?,b04f,b04,教育：國中,Y,
RII2000,b05a,請問您什麼時候開始上高中/高職/五專?民國__年,b05a,b05,教育：高中,Y,
RII2000,b05b,請問在這個階段，您主要是唸什麼樣的學校?,b05b,b05,教育：高中,Y,Y
RII2000,b05c,請問您就讀的學校是公立還是私立?,b05c,b05,教育：高中,Y,Y
RII2000,b05d,請問在這個階段，您有沒有拿到正式的文憑?,b05d,b05,教育：高中,Y,Y
RII2000,b05e,請問您是什麼時候畢業或肄業的?民國  _年,b05e,b05,教育：高中,Y,Y
RII2000,b05f,請問您在這個教育階段後，緊接下來做什麼呢?,b05f,b05,教育：高中,Y,Y
RII2000,b06b,請問在這個階段，您主要是唸什麼樣的學校?,b06b,b06,教育：大專,Y,Y
RII2000,b06c,請問您就讀的學校是公立還是私立?,b06c,b06,教育：大專,Y,Y
RII2000,b06d,請問在這個階段，您有沒有拿到正式的文憑?,b06d,b06,教育：大專,Y,Y
RII2000,b06e,請問您是什麼時候畢業或肄業的?民國  _年,b06e,b06,教育：大專,Y,
RII2000,b07c,請問您是什麼時候畢業或肄業的?民國 _ 年,b07c,b07,教育：研究所,Y,Y
RII2000,b12b01,請問當時您買房子的錢主要來自何處?,b12b01f,b12,家庭決策及收支,Y,
RII2000,b12b02,請問當時您買房子的錢主要來自何處?,b12b02f,b12,家庭決策及收支,Y,Y
RII2000,c03a01,您這份工作的行業,c03a01f,c03,工作,Y,
RII2000,c03a02,您這份工作的職業,c03a02f,c03,工作,Y,
RII2000,c06a02,每月平均約__元,c06a02f,c06,工作,Y,
RII2000,c06a04,每月平均約__元,c06a04f,c06,工作,Y,
RII2000,c06a06,每月平均約__元,c06a06f,c06,工作,Y,
RII2000,c06b,您這份工作平均每個月的總收入大約有多少?__元,c06b,c06,工作,Y,
RII2000,c07,在正常的情形下，您這份工作平均每週大約工作幾個小時?__小時,c07f,c07,工作,Y,
RII2000,c18z01,您用什麼方法找尋工作?家人介紹,c18z01f,c18,工作,Y,Y
RII2000,c18z02,您用什麼方法找尋工作?親戚介紹,c18z02f,c18,工作,Y,Y
RII2000,c18z07,您用什麼方法找尋工作?看徵才啟事,c18z07f,c18,工作,Y,Y
RII2000,c18z08,您用什麼方法找尋工作?自己去找,c18z08f,c18,工作,Y,Y
RII2000,c18z09,您用什麼方法找尋工作?其他,c18z09f,c18,工作,Y,Y
RII2000,c21a01,您(先生/太太)這份工作的行業,c21a01f,c21,工作,Y,Y
RII2000,c21a02,您(先生/太太)這份工作的職業,c21a02f,c21,工作,Y,Y
RII2000,c22,您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,c22f,c22,工作,Y,Y
RII2000,c23,在正常的情形下，您(先生/太太)這份工作平均每週大約工作幾個小時?___小時,c23f,c23,工作,Y,Y
RII2000,g05a01,和您的配偶發生意見不合時，通常您會不說話,g05a01f,g05,家庭決策及收支,Y,Y
RII2000,g05a02,和您的配偶發生意見不合時，通常您會批評對方,g05a02f,g05,家庭決策及收支,Y,Y
RII2000,g05a03,和您的配偶發生意見不合時，通常您會發脾氣,g05a03f,g05,家庭決策及收支,Y,Y
RII2000,g05a04,和您的配偶發生意見不合時，通常您會有肢體動作(動手動腳),g05a04f,g05,家庭決策及收支,Y,Y
RII2000,g05a05,和您的配偶發生意見不合時，通常您會其他,g05a05f,g05,家庭決策及收支,Y,Y
RII2000,g05b01,和您的配偶發生意見不合時，通常您的配偶會不說話,g05b01f,g05,家庭決策及收支,Y,
RII2000,g05b02,和您的配偶發生意見不合時，通常您的配偶會批評對方,g05b02f,g05,家庭決策及收支,Y,
RII2000,g05b03,和您的配偶發生意見不合時，通常您的配偶會發脾氣,g05b03f,g05,家庭決策及收支,Y,Y
RII2000,g05b04,和您的配偶發生意見不合時，通常您的配偶會有肢體動作(動手動腳),g05b04f,g05,家庭決策及收支,Y,Y
RII2000,g05b05,和您的配偶發生意見不合時，通常您的配偶會其他,g05b05f,g05,家庭決策及收支,Y,Y
RII2000,g06z02,您和您的配偶發生意見不合後，通常會彼此不說話,g06z02f,g06,家庭決策及收支,Y,Y
RII2000,g06z05,您和您的配偶發生意見不合後，通常會由第三者撮和,g06z05f,g06,家庭決策及收支,Y,Y
RII2000,g06z06,您和您的配偶發生意見不合後，通常會其他,g06z06f,g06,家庭決策及收支,Y,Y
RII2000,h05z02,訪問結束時間:__日,h05z02f,h05,問卷資訊,Y,Y
RII2000,h05z03,訪問結束時間:__時,h05z03f,h05,問卷資訊,Y,
RII2001,B04A,請問您什麼時候開始上初中/初職/國中?民國__年,B04A,B04,教育：國中,Y,Y
RII2001,B04B,請問在這個階段，您主要是唸什麼樣的學校?,B04B,B04,教育：國中,Y,Y
RII2001,B04D,請問在這個階段，您有沒有拿到正式的文憑?,B04D,B04,教育：國中,Y,Y
RII2001,B04E,請問您是什麼時候畢業或肄業的?民國__年,B04E,B04,教育：國中,Y,
RII2001,B04F,請問您在這個教育階段後，緊接下來做什麼呢?,B04F,B04,教育：國中,Y,
RII2001,B05A,請問您什麼時候開始上高中/高職/五專?民國__年,B05A,B05,教育：高中,Y,
RII2001,B05B,請問在這個階段，您主要是唸什麼樣的學校?,B05B,B05,教育：高中,Y,
