YEAR,NUMBER,QUESTION,ANSWER,pset,LABEL,dup_same_year,paired
RII2000,a05z02,是在哪一年開始?民國__年,a05z02f,a05,婚姻狀況,,
RII2000,a07,請問(他/她)是那裡人?,a07f,a07,配偶：基本資料,,
RII2000,b01,請問您什麼時候開始上小學?民國   年,b01f,b01,教育：國小,,
RII2000,b02b,那個時候，您的國語能力如何？如果0分代表完全不懂，10分代表很流利，您?{為上小學以前您的國語大約是幾分?__分,b02b,b02,教育：國小,,
RII2000,b04a,請問您什麼時候開始上初中/初職/國中?民國__年,b04a,b04,教育：國中,Y,
RII2000,b04b,請問在這個階段，您主要是唸什麼樣的學校?,b04b,b04,教育：國中,Y,
RII2000,b04d,請問在這個階段，您有沒有拿到正式的文憑?,b04d,b04,教育：國中,Y,
RII2000,b04e,請問您是什麼時候畢業或肄業?民國_ 年,b04e,b04,教育：國中,Y,
RII2000,b04f,請問您在這個教育階段後，緊接下來做什麼呢?,b04f,b04,教育：國中,Y,
RII2000,b05a,請問您什麼時候開始上高中/高職/五專?民國__年,b05a,b05,教育：高中,Y,
RII2000,b05b,請問在這個階段，您主要是唸什麼樣的學校?,b05b,b05,教育：高中,Y,
RII2000,b05c,請問您就讀的學校是公立還是私立?,b05c,b05,教育：高中,Y,
RII2000,b05d,請問在這個階段，您有沒有拿到正式的文憑?,b05d,b05,教育：高中,Y,
RII2000,b05e,請問您是什麼時候畢業或肄業的?民國  _年,b05e,b05,教育：高中,Y,
RII2000,b05f,請問您在這個教育階段後，緊接下來做什麼呢?,b05f,b05,教育：高中,Y,
RII2000,b06b,請問在這個階段，您主要是唸什麼樣的學校?,b06b,b06,教育：大專,Y,
RII2000,b06c,請問您就讀的學校是公立還是私立?,b06c,b06,教育：大專,Y,
RII2000,b06d,請問在這個階段，您有沒有拿到正式的文憑?,b06d,b06,教育：大專,Y,
RII2000,b06e,請問您是什麼時候畢業或肄業的?民國  _年,b06e,b06,教育：大專,Y,
RII2000,b07c,請問您是什麼時候畢業或肄業的?民國 _ 年,b07c,b07,教育：研究所,Y,
RII2000,b08b01,請問您什麼時候在軍中服役?民國 _ 年入伍,b08b01f,b08,兵役,,
RII2000,b08b02,民國  _年退伍,b08b02f,b08,兵役,,
RII2000,b12b01,請問當時您買房子的錢主要來自何處?,b12b01f,b12,家庭決策及收支,Y,
RII2000,b12b02,請問當時您買房子的錢主要來自何處?,b12b02f,b12,家庭決策及收支,Y,
RII2000,b14c,當時是做那一種事業,b14c,b14,工作,,
RII2000,b14g,目前一共有幾名員工__名,b14g,b14,工作,,
RII2000,c03a01,您這份工作的行業,c03a01f,c03,工作,Y,
RII2000,c03a02,您這份工作的職業,c03a02f,c03,工作,Y,
RII2000,c05z02,工作地點之地區碼,c05z02f,c05,工作,,
RII2000,c06a02,每月平均約__元,c06a02f,c06,工作,Y,
RII2000,c06a03,業績獎金，分紅等不固定的收入,c06a03f,c06,工作,,
RII2000,c06a04,每月平均約__元,c06a04f,c06,工作,Y,
RII2000,c06a05,其他來源,c06a05f,c06,工作,,
RII2000,c06a06,每月平均約__元,c06a06f,c06,工作,Y,
RII2000,c06b,您這份工作平均每個月的總收入大約有多少?__元,c06b,c06,工作,Y,
RII2000,c07,在正常的情形下，您這份工作平均每週大約工作幾個小時?__小時,c07f,c07,工作,Y,
RII2000,c08z02,約做了__年,c08z02f,c08,工作,,
RII2000,c08z03,__個月,c08z03f,c08,工作,,
RII2000,c12z01,您現在工作機構有沒有提供除健保外之醫療、意外或人壽保險福利給像您?o個職位的員工?,c12z01f,c12,工作,,
RII2000,c12z02,您現在工作機構有沒有提供低利貸款或優惠存款福利給像您這個職位的員?u?,c12z02f,c12,工作,,
RII2000,c12z03,您現在工作機構有沒有提供宿舍或房屋津貼福利給像您這個職位的員工?,c12z03f,c12,工作,,
RII2000,c12z04,您現在工作機構有沒有提供退休金福利給像您這個職位的員工?,c12z04f,c12,工作,,
RII2000,c12z05,您現在工作機構有沒有提供小孩的學雜費補助福利給像您這個職位的員工?,c12z05f,c12,工作,,
RII2000,c12z06,您現在工作機構有沒有提供提供在職訓練課程或進修福利給像您這個職位?滬工?,c12z06f,c12,工作,,
RII2000,c13z01,與同樣職位的男性員工比較起來，女性員工的薪水較少,c13z01f,c13,工作,,
RII2000,c13z02,女性員工在昇遷時較為困難,c13z02f,c13,工作,,
RII2000,c13z03,女性員工可能因為懷孕或結婚而被解僱，調職或影響升遷,c13z03f,c13,工作,,
RII2000,c14z01,您現在所做的工作，是否容易得到慢性疾病(如因噪音使聽力受損、因灰塵?l多造成肺部問題),c14z01f,c14,工作,,
RII2000,c15,從我們去年1月訪問到這次訪問的期間內，您總共做過幾份工作?  份,c15f,c15,工作,,
RII2000,c16z02,若有，到目前為止已找了__週,c16z02f,c16,工作,,
RII2000,c18z01,您用什麼方法找尋工作?家人介紹,c18z01f,c18,工作,Y,
RII2000,c18z02,您用什麼方法找尋工作?親戚介紹,c18z02f,c18,工作,Y,
RII2000,c18z03,您用什麼方法找尋工作?同鄉介紹,c18z03f,c18,工作,,
RII2000,c18z04,您用什麼方法找尋工作?朋友介紹,c18z04f,c18,工作,,
RII2000,c18z05,您用什麼方法找尋工作?老師介紹,c18z05f,c18,工作,,
RII2000,c18z06,您用什麼方法找尋工作?向公私之就業服務機構求職,c18z06f,c18,工作,,
RII2000,c18z07,您用什麼方法找尋工作?看徵才啟事,c18z07f,c18,工作,Y,
RII2000,c18z08,您用什麼方法找尋工作?自己去找,c18z08f,c18,工作,Y,
RII2000,c18z09,您用什麼方法找尋工作?其他,c18z09f,c18,工作,Y,
RII2000,c19,請問您(先生/太太)目前有沒有工作?,c19f,c19,工作,,
RII2000,c21a01,您(先生/太太)這份工作的行業,c21a01f,c21,工作,Y,
RII2000,c21a02,您(先生/太太)這份工作的職業,c21a02f,c21,工作,Y,
RII2000,c22,您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,c22f,c22,工作,Y,
RII2000,c23,在正常的情形下，您(先生/太太)這份工作平均每週大約工作幾個小時?___小時,c23f,c23,工作,Y,
RII2000,e02d,在過去一年裡，您家中每個月的飲食支出__元,e02d,e02,家庭決策及收支,,
RII2000,e02e01,在其他費用方面，下列哪一項所佔的支出最多?,e02e01f,e02,家庭決策及收支,,
RII2000,e02e02,此項目在上個學年/去年，總計約__元,e02e02f,e02,家庭決策及收支,,
RII2000,e03,您家中去年的人壽或商業醫療保險平均約__元,e03f,e03,家庭決策及收支,,
RII2000,g05a01,和您的配偶發生意見不合時，通常您會不說話,g05a01f,g05,家庭決策及收支,Y,
RII2000,g05a02,和您的配偶發生意見不合時，通常您會批評對方,g05a02f,g05,家庭決策及收支,Y,
RII2000,g05a03,和您的配偶發生意見不合時，通常您會發脾氣,g05a03f,g05,家庭決策及收支,Y,
RII2000,g05a04,和您的配偶發生意見不合時，通常您會有肢體動作(動手動腳),g05a04f,g05,家庭決策及收支,Y,
RII2000,g05a05,和您的配偶發生意見不合時，通常您會其他,g05a05f,g05,家庭決策及收支,Y,
RII2000,g05b01,和您的配偶發生意見不合時，通常您的配偶會不說話,g05b01f,g05,家庭決策及收支,Y,
RII2000,g05b02,和您的配偶發生意見不合時，通常您的配偶會批評對方,g05b02f,g05,家庭決策及收支,Y,
RII2000,g05b03,和您的配偶發生意見不合時，通常您的配偶會發脾氣,g05b03f,g05,家庭決策及收支,Y,
RII2000,g05b04,和您的配偶發生意見不合時，通常您的配偶會有肢體動作(動手動腳),g05b04f,g05,家庭決策及收支,Y,
RII2000,g05b05,和您的配偶發生意見不合時，通常您的配偶會其他,g05b05f,g05,家庭決策及收支,Y,
RII2000,g06z02,您和您的配偶發生意見不合後，通常會彼此不說話,g06z02f,g06,家庭決策及收支,Y,
RII2000,g06z05,您和您的配偶發生意見不合後，通常會由第三者撮和,g06z05f,g06,家庭決策及收支,Y,
RII2000,g06z06,您和您的配偶發生意見不合後，通常會其他,g06z06f,g06,家庭決策及收支,Y,
RII2000,h01,請問你本人目前是否有自己的經常性收入(包括薪水，做生意收入，利息或房租收入，政府津貼或保險給付)?,h01f,h01,家庭決策及收支,,
RII2000,h02,請問你的配偶目前是否有他(她)自己的收入(包括薪水，做生意收入，利息或房租收入，政府津貼或保險給付)?,h02f,h02,家庭決策及收支,,
RII2000,h05z02,訪問結束時間:__日,h05z02f,h05,問卷資訊,Y,
RII2000,h05z03,訪問結束時間:__時,h05z03f,h05,問卷資訊,Y,
RII2001,B01,請問您什時候開始上小學?民國__年,B01F,B01,教育：國小,,
RII2001,B02B,您認為上小學以前您的國語大約是幾分?__分(0分代表完全不懂，10分代表很流利),B02B,B02,教育：國小,,
RII2001,B04A,請問您什麼時候開始上初中/初職/國中?民國__年,B04A,B04,教育：國中,Y,
RII2001,B04B,請問在這個階段，您主要是唸什麼樣的學校?,B04B,B04,教育：國中,Y,
RII2001,B04D,請問在這個階段，您有沒有拿到正式的文憑?,B04D,B04,教育：國中,Y,
RII2001,B04E,請問您是什麼時候畢業或肄業的?民國__年,B04E,B04,教育：國中,Y,
RII2001,B04F,請問您在這個教育階段後，緊接下來做什麼呢?,B04F,B04,教育：國中,Y,
RII2001,B05A,請問您什麼時候開始上高中/高職/五專?民國__年,B05A,B05,教育：高中,Y,
RII2001,B05B,請問在這個階段，您主要是唸什麼樣的學校?,B05B,B05,教育：高中,Y,
RII2001,B05C,請問您就讀的學校是公立還是私立?,B05C,B05,教育：高中,Y,
RII2001,B05D,請問在這個階段，您有沒有拿到正式的文憑?,B05D,B05,教育：高中,Y,
RII2001,B05E,請問您是什麼時候畢業或肄業的?民國__年,B05E,B05,教育：高中,Y,
RII2001,B05F,請問您在這個教育階段後，緊接下來做什麼呢?,B05F,B05,教育：高中,Y,
RII2001,B06B,請問在這個階段，您主要是唸什麼樣的學校?,B06B,B06,教育：大專,Y,
RII2001,B06C,請問您就讀的學校是公立還是私立?,B06C,B06,教育：大專,Y,
RII2001,B06D,請問在這個階段，您有沒有拿到正式的文憑?,B06D,B06,教育：大專,Y,
RII2001,B06E,請問您是什麼時候畢業或肄業的?民國__年,B06E,B06,教育：大專,Y,
RII2001,B07C,請問您是什麼時候畢業或肄業的?民國__年,B07C,B07,教育：研究所,Y,
RII2001,B08B01,民國__年入伍,B08B01F,B08,兵役,Y,
RII2001,B08B02,民國__年退伍,B08B02F,B08,兵役,Y,
RII2001,B12B01,資金來源一,B12B01F,B12,家庭決策及收支,,
RII2001,B12B02,資金來源二,B12B02F,B12,家庭決策及收支,,
RII2001,B14C,當時是做哪一種事業?,B14C,B14,工作,,
RII2001,B14G,目前一共有幾名員工?__名,B14G,B14,工作,,
RII2001,C01A,請問從我們去年一月訪問到這次訪問的期間，您的工作情況有改變嗎?,C01A,C01,工作,Y,
RII2001,C01B,如果您繼續從事去年的工作，請問您的職位或工作內容有改變嗎?,C01B,C01,工作,,
RII2001,C02,請問您換工作是因為,C02F,C02,工作,,
RII2001,C03A01,您目前這份工作的行業,C03A01F,C03,工作,Y,
RII2001,C03A02,您目前這份工作的職業,C03A02F,C03,工作,Y,
RII2001,C06Z02,若為台灣，位於__鄉鎮市區,C06Z02F,C06,工作,,
RII2001,C07A02,每月平均約__元,C07A02F,C07,工作,Y,
RII2001,C07A04,每月平均約__元,C07A04F,C07,工作,Y,
RII2001,C07A05,您這份工作是按其他來源,C07A05F,C07,工作,,
RII2001,C07A06,每月平均約__元,C07A06F,C07,工作,Y,
